,Thời gian,Tiêu đề,URL
134,26/09/2024 00:00,PDR: Miễn nhiệm bà Ngô Thúy Vân - Kế toán trưởng từ 26.9.2024,https://cafef.vn/du-lieu/PDR-2061358/pdr-mien-nhiem-ba-ngo-thuy-van-ke-toan-truong-tu-2692024.chn?utm_source=du-lieu.chn
135,26/09/2024 00:00,PDR: Bổ nhiệm bà Trần Thị Thùy Trang giữ chức Kế toán trưởng từ 26.9.2024,https://cafef.vn/du-lieu/PDR-2061362/pdr-bo-nhiem-ba-tran-thi-thuy-trang-giu-chuc-ke-toan-truong-tu-2692024.chn?utm_source=du-lieu.chn
136,25/09/2024 00:00,PDR: Con ông Nguyễn Văn Đạt - Chủ tịch HĐQT đã bán 1.086.819 cp,https://cafef.vn/du-lieu/PDR-2059727/pdr-con-ong-nguyen-van-dat-chu-tich-hdqt-da-ban-1086819-cp.chn?utm_source=du-lieu.chn
137,23/09/2024 00:00,PDR: Ông Nguyễn Tấn Danh - Phó chủ tịch HĐQT đã bán 617.754 cp,https://cafef.vn/du-lieu/PDR-2057908/pdr-ong-nguyen-tan-danh-pho-chu-tich-hdqt-da-ban-617754-cp.chn?utm_source=du-lieu.chn
138,30/08/2024 00:00,PDR: Con ông Nguyễn Văn Đạt - Chủ tịch HĐQT đăng ký bán 1.086.819 cp,https://cafef.vn/du-lieu/PDR-2049337/pdr-con-ong-nguyen-van-dat-chu-tich-hdqt-dang-ky-ban-1086819-cp.chn?utm_source=du-lieu.chn
139,30/08/2024 00:00,PDR: Ông Nguyễn Tấn Danh - Phó chủ tịch HĐQT đăng ký bán 617.754 cp,https://cafef.vn/du-lieu/PDR-2049343/pdr-ong-nguyen-tan-danh-pho-chu-tich-hdqt-dang-ky-ban-617754-cp.chn?utm_source=du-lieu.chn
140,29/08/2024 00:00,PDR: Giải trình chênh lệch lợi nhuận sau thuế 6 tháng đầu năm 2024 so với 6 tháng đầu năm 2023,https://cafef.vn/du-lieu/PDR-2045902/pdr-giai-trinh-chenh-lech-loi-nhuan-sau-thue-6-thang-dau-nam-2024-so-voi-6-thang-dau-nam-2023.chn?utm_source=du-lieu.chn
141,25/08/2024 19:01,"Phát Đạt tạm dừng trả cổ tức, ưu tiên phát hành cổ phiếu hoán đổi nợ",https://cafef.vn/phat-dat-tam-dung-tra-co-tuc-uu-tien-phat-hanh-co-phieu-hoan-doi-no-18824082519013952.chn?utm_source=du-lieu.chn
142,23/08/2024 00:00,PDR: Quyết định của HĐQT về việc tạm dừng triển khai phương án phát hành CP trả cổ tức và hủy QĐ số 18,https://cafef.vn/du-lieu/PDR-2044037/pdr-quyet-dinh-cua-hdqt-ve-viec-tam-dung-trien-khai-phuong-an-phat-hanh-cp-tra-co-tuc-va-huy-qd-so-18.chn?utm_source=du-lieu.chn
143,16/08/2024 17:00,"Chủ tịch Phát Đạt báo tin vui cho cổ đông: ""Công ty mới được giao thêm đất dự án Bắc Hà Thanh, chứng tỏ PDR không có vi phạm đất đai trên 63 tỉnh, thành""",https://cafef.vn/chu-tich-phat-dat-bao-tin-vui-cho-co-dong-cong-ty-moi-duoc-giao-them-dat-du-an-bac-ha-thanh-chung-to-pdr-khong-co-vi-pham-dat-dai-tren-63-tinh-thanh-188240816164032192.chn?utm_source=du-lieu.chn
144,05/08/2024 19:10,Các đại gia bất động sản TP HCM trả lương nhân viên thế nào?,https://cafef.vn/cac-dai-gia-bat-dong-san-tp-hcm-tra-luong-nhan-vien-the-nao-188240805161150824.chn?utm_source=du-lieu.chn
145,22/07/2024 14:58,"Con gái Chủ tịch HĐQT Phát Đạt ""quay xe"" không bán cổ phiếu PDR như đăng ký",https://cafef.vn/con-gai-chu-tich-hdqt-phat-dat-quay-xe-khong-ban-co-phieu-pdr-nhu-dang-ky-188240722143701785.chn?utm_source=du-lieu.chn
146,19/07/2024 15:40,"Phát Đạt (PDR): Doanh thu quý 2/2024 chỉ hơn 8 tỷ đồng, “cứu” lợi nhuận nhờ bán công ty liên kết cho “người quen cũ”",https://cafef.vn/phat-dat-pdr-doanh-thu-quy-22024-chi-hon-8-ty-dong-cuu-loi-nhuan-nho-ban-cong-ty-lien-ket-cho-nguoi-quen-cu-188240719152303809.chn?utm_source=du-lieu.chn
147,19/07/2024 13:10,"TTCK lên xuống nhộn nhịp nhưng có những cổ đông của nhiều công ty “chưa 1 lần vui” khi cổ phiếu liên tục dò đáy, giảm đến 81% từ đầu năm",https://cafef.vn/ttck-len-xuong-nhon-nhip-nhung-co-nhung-co-dong-cua-nhieu-cong-ty-chua-1-lan-vui-khi-co-phieu-lien-tuc-do-day-giam-den-81-tu-dau-nam-188240719095851821.chn?utm_source=du-lieu.chn
148,19/07/2024 00:00,PDR: Giải trình biến động kết quả kinh doanh quý 2/2024 so với quý 2/2023,https://cafef.vn/du-lieu/PDR-2025948/pdr-giai-trinh-bien-dong-ket-qua-kinh-doanh-quy-22024-so-voi-quy-22023.chn?utm_source=du-lieu.chn
149,19/07/2024 00:00,PDR: Con ông Nguyễn Văn Đạt - Chủ tịch HĐQT chưa bán cp,https://cafef.vn/du-lieu/PDR-2027362/pdr-con-ong-nguyen-van-dat-chu-tich-hdqt-chua-ban-cp.chn?utm_source=du-lieu.chn
150,18/07/2024 00:00,PDR: Ông Nguyễn Tấn Danh - Phó chủ tịch HĐQT chưa bán cp,https://cafef.vn/du-lieu/PDR-2026464/pdr-ong-nguyen-tan-danh-pho-chu-tich-hdqt-chua-ban-cp.chn?utm_source=du-lieu.chn
151,16/07/2024 00:00,PDR: Báo cáo tình hình quản trị Công ty 06 tháng đầu năm 2024,https://cafef.vn/du-lieu/PDR-2024984/pdr-bao-cao-tinh-hinh-quan-tri-cong-ty-06-thang-dau-nam-2024.chn?utm_source=du-lieu.chn
152,10/07/2024 00:00,PDR: Thông báo về việc giao dịch cổ phiếu thay đổi đăng ký niêm yết,https://cafef.vn/du-lieu/PDR-2021246/pdr-thong-bao-ve-viec-giao-dich-co-phieu-thay-doi-dang-ky-niem-yet.chn?utm_source=du-lieu.chn
153,05/07/2024 00:00,"PDR: 9.7.2024, niêm yết bổ sung 134.329.243 cp",https://cafef.vn/du-lieu/PDR-2018859/pdr-972024-niem-yet-bo-sung-134329243-cp.chn?utm_source=du-lieu.chn
154,05/07/2024 00:00,PDR: Nghị quyết HĐQT về việc triển khai phương án phát hành cổ phiếu để trả cổ tức,https://cafef.vn/du-lieu/PDR-2019138/pdr-nghi-quyet-hdqt-ve-viec-trien-khai-phuong-an-phat-hanh-co-phieu-de-tra-co-tuc.chn?utm_source=du-lieu.chn
155,25/06/2024 00:00,PDR: Bản sửa đổi Điều lệ công ty,https://cafef.vn/du-lieu/PDR-2013492/pdr-ban-sua-doi-dieu-le-cong-ty.chn?utm_source=du-lieu.chn
156,24/06/2024 14:48,Phát Đạt sắp thu về tối thiểu hơn 1.400 tỷ đồng nhờ thoái vốn một công ty liên kết,https://cafef.vn/phat-dat-sap-thu-ve-toi-thieu-hon-1400-ty-dong-nho-thoai-von-mot-cong-ty-lien-ket-188240624144648186.chn?utm_source=du-lieu.chn
