,time,open,high,low,close,volume
154,2024-07-11,13.07,13.18,12.99,13.1,9640179
155,2024-07-12,13.14,13.18,12.84,12.84,9461568
156,2024-07-15,12.91,12.95,12.8,12.84,5486930
157,2024-07-16,12.91,13.1,12.84,12.87,8492678
158,2024-07-17,13.03,13.1,12.53,12.65,14007875
159,2024-07-18,12.72,12.91,12.49,12.91,7971811
160,2024-07-19,12.84,12.87,12.04,12.04,55236784
161,2024-07-22,11.73,11.85,11.24,11.24,27578235
162,2024-07-23,11.39,11.43,10.59,10.63,31449929
163,2024-07-24,10.32,11.08,10.32,11.05,18628058
164,2024-07-25,11.05,11.05,10.67,10.7,9190122
165,2024-07-26,10.82,10.82,10.4,10.51,20244664
166,2024-07-29,10.59,10.82,10.55,10.59,22032212
167,2024-07-30,10.59,10.59,10.06,10.06,39962338
168,2024-07-31,10.71,10.71,10.57,10.71,28668987
169,2024-08-01,11.0,11.0,10.38,10.62,32803473
170,2024-08-02,10.57,11.0,10.48,10.95,24823802
171,2024-08-05,10.62,10.95,10.24,10.33,24616833
172,2024-08-06,10.62,10.71,10.33,10.62,15207984
173,2024-08-07,10.71,10.71,10.43,10.62,11785056
174,2024-08-08,10.48,10.81,10.48,10.57,11733037
175,2024-08-09,10.76,10.9,10.62,10.81,21623246
176,2024-08-12,10.86,10.95,10.76,10.95,13026656
177,2024-08-13,10.95,10.95,10.62,10.81,15180951
178,2024-08-14,10.9,10.9,10.52,10.57,17986548
179,2024-08-15,10.62,10.67,10.38,10.67,15154488
180,2024-08-16,10.71,11.38,10.67,11.38,55180014
181,2024-08-19,11.62,11.67,11.29,11.43,25147491
182,2024-08-20,11.43,11.76,11.19,11.57,37755146
183,2024-08-21,11.52,11.67,11.38,11.67,22602419
184,2024-08-22,11.67,11.67,11.48,11.57,18608750
185,2024-08-23,11.57,11.67,11.33,11.57,28516217
186,2024-08-26,11.71,11.81,11.48,11.57,31274626
187,2024-08-27,11.52,11.57,11.24,11.33,26451460
188,2024-08-28,11.38,11.48,11.1,11.48,36330769
189,2024-08-29,11.52,11.76,11.33,11.57,54523414
190,2024-08-30,11.62,11.62,11.33,11.57,40950523
191,2024-09-04,11.33,11.52,11.29,11.43,20358881
192,2024-09-05,11.57,11.62,11.24,11.33,20048210
193,2024-09-06,11.33,11.38,11.1,11.24,17927624
194,2024-09-09,11.24,11.24,11.0,11.1,14064955
195,2024-09-10,11.24,11.24,10.71,10.81,21335144
196,2024-09-11,10.81,10.95,10.62,10.76,14815959
197,2024-09-12,10.95,11.0,10.71,10.71,8025110
198,2024-09-13,10.86,10.95,10.71,10.76,11845642
199,2024-09-16,10.86,10.86,10.52,10.52,12154955
200,2024-09-17,10.52,10.76,10.52,10.76,10045044
201,2024-09-18,10.81,11.05,10.76,10.81,15525994
202,2024-09-19,10.9,10.95,10.76,10.86,8368962
203,2024-09-20,10.95,11.05,10.71,10.71,34793300
204,2024-09-23,10.86,10.9,10.76,10.81,9296219
205,2024-09-24,10.86,10.9,10.76,10.86,7787068
206,2024-09-25,10.9,11.43,10.9,11.43,39879916
207,2024-09-26,11.48,11.52,11.33,11.38,19675020
208,2024-09-27,11.43,11.57,11.29,11.33,23213533
209,2024-09-30,11.38,11.62,11.24,11.43,23715592
210,2024-10-01,11.52,12.05,11.43,11.76,50117804
211,2024-10-02,11.71,11.81,11.57,11.62,21612671
212,2024-10-03,11.71,11.76,11.14,11.29,36118542
213,2024-10-04,11.29,11.38,11.19,11.24,14100609
214,2024-10-07,11.29,11.38,11.14,11.29,11842321
215,2024-10-08,11.29,11.57,11.14,11.43,27952874
216,2024-10-09,11.48,11.62,11.33,11.48,18938402
217,2024-10-10,11.57,11.62,11.19,11.29,27580072
218,2024-10-11,11.29,11.33,11.24,11.33,12861182
219,2024-10-14,11.38,11.48,10.86,10.95,47413812
220,2024-10-15,10.95,11.05,10.76,10.76,19084904
221,2024-10-16,10.81,10.95,10.67,10.76,20860999
222,2024-10-17,10.81,10.9,10.62,10.9,16474260
223,2024-10-18,11.05,11.05,10.86,10.86,8811902
224,2024-10-21,10.86,11.24,10.76,11.0,29174694
225,2024-10-22,11.0,11.14,10.86,10.95,14415750
226,2024-10-23,10.95,11.0,10.86,10.9,8941414
227,2024-10-24,10.9,10.9,10.71,10.71,15057590
228,2024-10-25,10.81,10.81,10.57,10.57,11390912
229,2024-10-28,10.48,10.57,10.38,10.43,32936683
230,2024-10-29,10.48,10.62,10.43,10.48,14666863
231,2024-10-30,10.48,10.52,10.29,10.33,14327208
232,2024-10-31,10.38,10.48,10.29,10.43,13723201
233,2024-11-01,10.38,10.43,10.24,10.24,11114449
234,2024-11-04,10.33,10.33,10.0,10.24,25148487
235,2024-11-05,10.24,10.33,10.1,10.1,9909712
236,2024-11-06,10.19,10.33,10.1,10.29,15283630
237,2024-11-07,10.38,10.43,10.24,10.24,11319598
238,2024-11-08,10.29,10.33,10.14,10.14,10140281
239,2024-11-11,10.14,10.19,9.95,10.0,18369788
240,2024-11-12,10.05,10.14,9.86,9.9,16111917
241,2024-11-13,9.86,9.9,9.52,9.67,38002439
242,2024-11-14,9.62,9.71,9.43,9.45,20743727
243,2024-11-15,9.44,9.52,9.14,9.24,29367373
244,2024-11-18,9.19,9.62,9.19,9.43,24081606
245,2024-11-19,9.43,9.5,9.12,9.12,14866760
246,2024-11-20,9.12,9.37,8.99,9.22,20082135
247,2024-11-21,9.24,9.41,9.22,9.4,12219684
248,2024-11-22,9.39,9.41,9.26,9.26,13567580
249,2024-11-25,9.26,9.42,9.26,9.36,13247986
250,2024-11-26,9.36,9.76,9.36,9.62,25005331
251,2024-11-27,9.67,9.71,9.52,9.57,8484267
252,2024-11-28,9.67,9.71,9.52,9.52,11567357
253,2024-11-29,9.52,9.71,9.5,9.57,15921421
254,2024-12-02,9.67,9.71,9.52,9.57,8437668
255,2024-12-03,9.52,9.62,9.41,9.41,20601885
256,2024-12-04,9.41,9.46,9.25,9.25,15783073
257,2024-12-05,9.29,9.86,9.15,9.86,36641851
258,2024-12-06,9.9,10.0,9.71,9.71,24878923
259,2024-12-09,9.76,9.9,9.71,9.76,16028109
260,2024-12-10,9.71,9.86,9.71,9.71,12198155
261,2024-12-11,9.76,9.81,9.62,9.67,12135054
262,2024-12-12,9.67,9.76,9.62,9.67,8536329
263,2024-12-13,9.62,9.71,9.57,9.57,8833232
264,2024-12-16,9.57,9.9,9.57,9.86,23372040
265,2024-12-17,9.9,9.9,9.81,9.81,13220143
266,2024-12-18,9.81,9.95,9.76,9.86,13451177
267,2024-12-19,9.76,9.81,9.62,9.71,19962020
268,2024-12-20,9.76,9.81,9.62,9.81,28829669
269,2024-12-23,9.81,9.86,9.71,9.71,10014744
270,2024-12-24,9.71,9.76,9.57,9.62,10970939
271,2024-12-25,9.62,9.9,9.62,9.76,14042667
272,2024-12-26,9.76,9.81,9.67,9.67,7505568
273,2024-12-27,9.67,9.76,9.62,9.67,9090182
274,2024-12-30,9.67,9.71,9.51,9.52,12063079
275,2024-12-31,9.52,9.57,9.38,9.38,14720822
276,2025-01-02,9.37,9.62,9.37,9.47,8596011
277,2025-01-03,9.48,9.52,9.39,9.39,10945510
278,2025-01-06,9.39,9.42,9.09,9.14,14307658
279,2025-01-07,9.19,9.27,9.01,9.05,12113290
280,2025-01-08,9.05,9.23,9.05,9.18,7528673
281,2025-01-09,9.15,9.22,9.1,9.1,5555868
282,2025-01-10,9.1,9.13,8.76,8.76,20393354
283,2025-01-13,8.71,8.8,8.6,8.69,17496772
284,2025-01-14,8.69,8.8,8.61,8.61,10714274
285,2025-01-15,8.61,8.85,8.61,8.81,11086383
286,2025-01-16,8.89,9.33,8.89,8.97,14608875
287,2025-01-17,9.03,9.09,8.97,9.02,8466276
288,2025-01-20,9.02,9.14,8.96,9.08,14104993
289,2025-01-21,9.08,9.19,9.06,9.12,11198601
290,2025-01-22,9.13,9.21,8.98,8.98,9688166
291,2025-01-23,9.0,9.19,8.98,9.12,13942359
292,2025-01-24,9.14,9.52,9.14,9.42,23391941
293,2025-02-03,9.14,9.52,9.14,9.37,11032948
294,2025-02-04,9.4,9.67,9.4,9.67,24075946
295,2025-02-05,9.71,9.71,9.5,9.51,18891102
296,2025-02-06,9.62,9.81,9.52,9.57,23322195
297,2025-02-07,9.67,9.67,9.52,9.62,10819593
298,2025-02-10,9.57,9.62,9.47,9.49,20733586
299,2025-02-11,9.49,9.52,9.47,9.47,8595186
300,2025-02-12,9.47,9.67,9.47,9.5,15571319
301,2025-02-13,9.5,9.71,9.49,9.57,17353273
302,2025-02-14,9.62,9.81,9.62,9.67,25233274
303,2025-02-17,9.71,10.33,9.67,10.24,87822306
304,2025-02-18,10.33,10.62,10.19,10.43,42368883
305,2025-02-19,10.52,10.67,10.43,10.67,49103339
306,2025-02-20,10.71,10.9,10.57,10.71,49093990
307,2025-02-21,10.67,10.76,10.57,10.76,29397588
308,2025-02-24,10.71,11.0,10.62,10.95,42269473
309,2025-02-25,11.0,11.14,10.86,10.9,51610841
310,2025-02-26,10.95,11.14,10.86,10.9,36958926
311,2025-02-27,10.95,11.05,10.67,10.95,39576835
312,2025-02-28,10.95,11.14,10.81,10.9,35643679
313,2025-03-03,10.9,11.43,10.76,11.24,65480290
314,2025-03-04,11.14,11.29,10.48,10.95,96317589
315,2025-03-05,10.95,11.14,10.57,10.57,59879318
316,2025-03-06,10.71,11.29,10.67,11.29,113141825
317,2025-03-07,11.43,11.57,11.24,11.29,40189222
318,2025-03-10,11.33,11.57,11.29,11.33,39665090
319,2025-03-11,11.14,11.48,11.0,11.38,46007807
320,2025-03-12,11.43,11.9,11.43,11.86,87959591
321,2025-03-13,11.81,11.9,11.52,11.62,41323060
322,2025-03-14,11.52,11.81,11.48,11.71,33581226
323,2025-03-17,11.71,11.86,11.67,11.71,22906920
324,2025-03-18,11.86,11.9,11.52,11.62,32923263
325,2025-03-19,11.57,11.62,11.33,11.52,25792483
326,2025-03-20,11.57,11.81,11.48,11.71,24826136
